Date,City,Daily_Confirmed,Daily_Active,Daily_Recovered,Daily_Deaths,Cumulative_Confirmed,Cumulative_Active,Cumulative_Recovered,Cumulative_Deaths,Region,Event
03/19/2020,Mecca,3,3,0,0,67,67,0,0,Makkah,
03/19/2020,Muhayil Aseer,1,1,0,0,1,1,0,0,Asir,
03/19/2020,Qatif,4,4,0,0,45,40,5,0,Eastern Region,
03/19/2020,Riyadh,21,21,0,0,81,81,0,0,Riyadh,
03/20/2020,Abha,0,0,0,0,1,1,0,0,Asir,
03/20/2020,Al Bahah,1,1,0,0,1,1,0,0,Al Bahah,
03/20/2020,Bisha,1,1,0,0,1,1,0,0,Asir,
03/20/2020,Dammam,1,1,0,0,39,36,3,0,Eastern Region,
03/20/2020,Dhahran,1,1,0,0,9,9,0,0,Eastern Region,
03/20/2020,Hafar Al Batin,1,1,0,0,1,1,0,0,Eastern Region,
03/20/2020,Hofuf,0,0,0,0,4,4,0,0,Eastern Region,
03/20/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,
03/20/2020,Jeddah,11,11,0,0,38,38,0,0,Makkah,
03/20/2020,Mecca,2,2,0,0,69,69,0,0,Makkah,
03/20/2020,Medina,1,1,0,0,1,1,0,0,Medina,
03/20/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/20/2020,Qatif,1,1,0,0,46,41,5,0,Eastern Region,
03/20/2020,Riyadh,49,49,0,0,130,130,0,0,Riyadh,
03/20/2020,Tabuk,1,1,0,0,1,1,0,0,Tabuk,
03/21/2020,Abha,0,0,0,0,1,1,0,0,Asir,Domestic flights suspension
03/21/2020,Al Bahah,0,0,0,0,1,1,0,0,Al Bahah,Domestic flights suspension
03/21/2020,Bisha,0,0,0,0,1,1,0,0,Asir,Domestic flights suspension
03/21/2020,Dammam,0,0,0,0,39,36,3,0,Eastern Region,Domestic flights suspension
03/21/2020,Dhahran,1,0,1,0,10,9,1,0,Eastern Region,Domestic flights suspension
03/21/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,Domestic flights suspension
03/21/2020,Hofuf,2,2,0,0,6,6,0,0,Eastern Region,Domestic flights suspension
03/21/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,Domestic flights suspension
03/21/2020,Jeddah,5,2,3,0,43,40,3,0,Makkah,Domestic flights suspension
03/21/2020,Mecca,2,-1,3,0,71,68,3,0,Makkah,Domestic flights suspension
03/21/2020,Medina,0,0,0,0,1,1,0,0,Medina,Domestic flights suspension
03/21/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,Domestic flights suspension
03/21/2020,Nairyah,1,1,0,0,1,1,0,0,Eastern Region,Domestic flights suspension
03/21/2020,Qatif,1,0,1,0,47,41,6,0,Eastern Region,Domestic flights suspension
03/21/2020,Riyadh,36,28,8,0,166,158,8,0,Riyadh,Domestic flights suspension
03/21/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,Domestic flights suspension
03/22/2020,Abha,0,0,0,0,1,1,0,0,Asir,
03/22/2020,Al Bahah,0,0,0,0,1,1,0,0,Al Bahah,
03/22/2020,Bisha,0,0,0,0,1,1,0,0,Asir,
03/22/2020,Buraydah,1,1,0,0,1,1,0,0,Qassim,
03/22/2020,Dammam,1,1,0,0,40,37,3,0,Eastern Region,
03/22/2020,Dhahran,1,1,0,0,11,10,1,0,Eastern Region,
03/22/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,
03/22/2020,Hofuf,3,3,0,0,9,9,0,0,Eastern Region,
03/22/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,
03/22/2020,Jeddah,0,0,0,0,43,40,3,0,Makkah,
03/22/2020,Khobar,3,3,0,0,3,3,0,0,Eastern Region,
03/22/2020,Mecca,72,72,0,0,143,140,3,0,Makkah,
03/22/2020,Medina,0,0,0,0,1,1,0,0,Medina,
03/22/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/22/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,
03/22/2020,Qatif,4,4,0,0,51,45,6,0,Eastern Region,
03/22/2020,Riyadh,34,34,0,0,200,192,8,0,Riyadh,
03/22/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,
03/23/2020,Abha,0,0,0,0,1,1,0,0,Asir,Curfew started for 21 days (6am -7 pm)
03/23/2020,Al Bahah,0,0,0,0,1,1,0,0,Al Bahah,Curfew started for 21 days (6am -7 pm)
03/23/2020,Al Qunfudhah,1,1,0,0,1,1,0,0,Makkah,Curfew started for 21 days (6am -7 pm)
03/23/2020,Bisha,5,5,0,0,6,6,0,0,Asir,Curfew started for 21 days (6am -7 pm)
03/23/2020,Buraydah,0,0,0,0,1,1,0,0,Qassim,Curfew started for 21 days (6am -7 pm)
03/23/2020,Dammam,3,3,0,0,43,40,3,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Dhahran,0,0,0,0,11,10,1,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Hofuf,0,0,0,0,9,9,0,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Jazan,2,2,0,0,4,4,0,0,Jazan,Curfew started for 21 days (6am -7 pm)
03/23/2020,Jeddah,0,0,0,0,43,40,3,0,Makkah,Curfew started for 21 days (6am -7 pm)
03/23/2020,Khobar,0,0,0,0,3,3,0,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Mecca,12,12,0,0,155,152,3,0,Makkah,Curfew started for 21 days (6am -7 pm)
03/23/2020,Medina,0,0,0,0,1,1,0,0,Medina,Curfew started for 21 days (6am -7 pm)
03/23/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,Curfew started for 21 days (6am -7 pm)
03/23/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Najran,1,1,0,0,1,1,0,0,Najran,Curfew started for 21 days (6am -7 pm)
03/23/2020,Qatif,3,3,0,0,54,48,6,0,Eastern Region,Curfew started for 21 days (6am -7 pm)
03/23/2020,Riyadh,18,18,0,0,218,210,8,0,Riyadh,Curfew started for 21 days (6am -7 pm)
03/23/2020,Ta'if,6,6,0,0,6,6,0,0,Makkah,Curfew started for 21 days (6am -7 pm)
03/23/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,Curfew started for 21 days (6am -7 pm)
03/24/2020,Abha,6,6,0,0,7,7,0,0,Asir,
03/24/2020,Al Bahah,12,12,0,0,13,13,0,0,Al Bahah,
03/24/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,
03/24/2020,Bisha,8,8,0,0,14,14,0,0,Asir,
03/24/2020,Buraydah,0,0,0,0,1,1,0,0,Qassim,
03/24/2020,Dammam,6,6,0,0,49,46,3,0,Eastern Region,
03/24/2020,Dhahran,2,2,0,0,13,12,1,0,Eastern Region,
03/24/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,
03/24/2020,Hofuf,0,-1,1,0,9,8,1,0,Eastern Region,
03/24/2020,Jazan,3,3,0,0,7,7,0,0,Jazan,
03/24/2020,Jeddah,82,81,1,0,125,121,4,0,Makkah,
03/24/2020,Khobar,2,2,0,0,5,5,0,0,Eastern Region,
03/24/2020,Mecca,0,-2,2,0,155,150,5,0,Makkah,
03/24/2020,Medina,1,0,0,1,2,1,0,1,Medina,
03/24/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/24/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,
03/24/2020,Najran,8,8,0,0,9,9,0,0,Najran,
03/24/2020,Qatif,6,6,0,0,60,54,6,0,Eastern Region,
03/24/2020,Riyadh,69,69,0,0,287,279,8,0,Riyadh,
03/24/2020,Ta'if,0,0,0,0,6,6,0,0,Makkah,
03/24/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,
03/25/2020,Abha,2,2,0,0,9,9,0,0,Asir,
03/25/2020,Al Bahah,0,0,0,0,13,13,0,0,Al Bahah,
03/25/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,
03/25/2020,Arar,2,2,0,0,2,2,0,0,Northern Borders,
03/25/2020,Bisha,0,0,0,0,14,14,0,0,Asir,
03/25/2020,Buraydah,0,0,0,0,1,1,0,0,Qassim,
03/25/2020,Dammam,13,13,0,0,62,59,3,0,Eastern Region,
03/25/2020,Dhahran,1,1,0,0,14,13,1,0,Eastern Region,
03/25/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,
03/25/2020,Hofuf,0,0,0,0,9,8,1,0,Eastern Region,
03/25/2020,Jazan,0,0,0,0,7,7,0,0,Jazan,
03/25/2020,Jeddah,10,10,0,0,135,131,4,0,Makkah,
03/25/2020,Jubail,1,1,0,0,1,1,0,0,Eastern Region,
03/25/2020,Khobar,5,5,0,0,10,10,0,0,Eastern Region,
03/25/2020,Mecca,0,-1,0,1,155,149,5,1,Makkah,
03/25/2020,Medina,6,6,0,0,8,7,0,1,Medina,
03/25/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/25/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,
03/25/2020,Najran,4,4,0,0,13,13,0,0,Najran,
03/25/2020,Qatif,6,6,0,0,66,60,6,0,Eastern Region,
03/25/2020,Riyadh,83,82,1,0,370,361,9,0,Riyadh,
03/25/2020,Ta'if,0,0,0,0,6,6,0,0,Makkah,
03/25/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,
03/26/2020,Abha,0,0,0,0,9,9,0,0,Asir,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Al Bahah,0,0,0,0,13,13,0,0,Al Bahah,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Arar,0,0,0,0,2,2,0,0,Northern Borders,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Bisha,0,0,0,0,14,14,0,0,Asir,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Buraydah,1,1,0,0,2,2,0,0,Qassim,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Dammam,6,5,1,0,68,64,4,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Dhahran,1,1,0,0,15,14,1,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Hofuf,2,2,0,0,11,10,1,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Jazan,0,0,0,0,7,7,0,0,Jazan,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Jeddah,13,13,0,0,148,144,4,0,Makkah,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Jubail,0,0,0,0,1,1,0,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Khafji,1,1,0,0,1,1,0,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Khobar,2,2,0,0,12,12,0,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Mecca,26,26,0,0,181,175,5,1,Makkah,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Medina,3,2,0,1,11,9,0,2,Medina,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Najran,0,0,0,0,13,13,0,0,Najran,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Qatif,5,2,3,0,71,62,9,0,Eastern Region,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Riyadh,34,34,0,0,404,395,9,0,Riyadh,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Ta'if,18,18,0,0,24,24,0,0,Makkah,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/26/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)"
03/27/2020,Abha,0,0,0,0,9,9,0,0,Asir,
